# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
   81       4.935506588841e-13       4.346559182803e-12       2.932626974933e-12       1.953963631406e-12                     -nan       1.167767612059e-12       1.149927410746e-11 
   82       4.825826780895e-13       4.247069918535e-12       2.875521186642e-12       1.913701496429e-12                     -nan       1.139821205577e-12       1.122504117726e-11 
   83       4.719972393046e-13       4.151045666882e-12       2.820469756902e-12       1.874865953836e-12                     -nan       1.112850466052e-12       1.096038787511e-11 
   84       4.617552202684e-13       4.058132874464e-12       2.767263026149e-12       1.837311142478e-12                     -nan       1.086756271774e-12       1.070434047015e-11 
   85       4.518515595235e-13       3.968285224547e-12       2.715875375404e-12       1.801018772365e-12                     -nan       1.061525339087e-12       1.045676844600e-11 
   86       4.422870541837e-13       3.881509277743e-12       2.666312769426e-12       1.765992466163e-12                     -nan       1.037159175049e-12       1.021768657876e-11 
   87       4.330581965885e-13       3.797772809916e-12       2.618557809964e-12       1.732219680480e-12                     -nan       1.013648475688e-12       9.987003442276e-12 
   88       4.241569924737e-13       3.717003175859e-12       2.572568744576e-12       1.699671021300e-12                     -nan       9.909726708324e-13       9.764516936437e-12 
   89       4.155707791425e-13       3.639085672984e-12       2.528278475455e-12       1.668299559418e-12                     -nan       9.690994689321e-13       9.549909815500e-12 
   90       4.072820436367e-13       3.563861905003e-12       2.485593568249e-12       1.638040145880e-12                     -nan       9.479844018834e-13       9.342745216396e-12 
   91       3.992682409073e-13       3.491128145610e-12       2.444393260886e-12       1.608808727417e-12                     -nan       9.275703698546e-13       9.142462187036e-12 
   92       3.915016119861e-13       3.420633702169e-12       2.404528472397e-12       1.580501661877e-12                     -nan       9.077871861100e-13       8.948371214628e-12 
   93       3.839560508694e-13       3.352142799053e-12       2.365859040760e-12       1.553021491912e-12                     -nan       8.885688352133e-13       8.759823766603e-12 
   94       3.766292815097e-13       3.285634428410e-12       2.328373995828e-12       1.526360187090e-12                     -nan       8.699092054505e-13       8.576759794434e-12 
   95       3.695236955817e-13       3.221129671443e-12       2.292087627039e-12       1.500527213962e-12                     -nan       8.518139359962e-13       8.399234689880e-12 
   96       3.626395170292e-13       3.158630102790e-12       2.257002406002e-12       1.475523876277e-12                     -nan       8.342832412168e-13       8.227250554298e-12 
   97       3.559747169926e-13       3.098117026132e-12       2.223108520089e-12       1.451342993601e-12                     -nan       8.173116986437e-13       8.060754115604e-12 
   98       3.495249287368e-13       3.039550709801e-12       2.190383406016e-12       1.427968579943e-12                     -nan       8.008880369467e-13       7.899634645221e-12 
   99       3.432833625782e-13       2.982869622388e-12       2.158791283431e-12       1.405375522379e-12                     -nan       7.849949239074e-13       7.743721875036e-12 
  100       3.372407208128e-13       2.927989668352e-12       2.128282688504e-12       1.383529259678e-12                     -nan       7.696087543922e-13       7.592783914349e-12 
  101       3.313851126433e-13       2.874803423624e-12       2.098794007507e-12       1.362385460920e-12                     -nan       7.546994383259e-13       7.446525166833e-12 
  102       3.257019691070e-13       2.823179371218e-12       2.070247010410e-12       1.341889704126e-12                     -nan       7.402301886646e-13       7.304584247482e-12 
  103       3.201739580032e-13       2.772961136838e-12       2.042548384457e-12       1.321977154882e-12                     -nan       7.261573093694e-13       7.166531899566e-12 
  104       3.147851088891e-13       2.724004616405e-12       2.015612209755e-12       1.302588091708e-12                     -nan       7.124405253068e-13       7.031972477792e-12 
  105       3.095340059162e-13       2.676296716950e-12       1.989431848360e-12       1.283717562906e-12                     -nan       6.990760178383e-13       6.900868497149e-12 
  106       3.044222268508e-13       2.629851305512e-12       1.964016942038e-12       1.265371869725e-12                     -nan       6.860674773541e-13       6.773256246579e-12 
  107       2.994502538105e-13       2.584672405781e-12       1.939371125745e-12       1.247553173152e-12                     -nan       6.734158648306e-13       6.649145204232e-12 
  108       2.946174344558e-13       2.540753850102e-12       1.915491813326e-12       1.230259346678e-12                     -nan       6.611193156492e-13       6.528517092506e-12 
  109       2.899219431823e-13       2.498078931476e-12       1.892369983207e-12       1.213483829064e-12                     -nan       6.491730434150e-13       6.411324933092e-12 
  110       2.853607423127e-13       2.456620055561e-12       1.869989964100e-12       1.197215477102e-12                     -nan       6.375692437755e-13       6.297492102015e-12 
  111       2.809295432892e-13       2.416338392678e-12       1.848329220689e-12       1.181438418383e-12                     -nan       6.262969982389e-13       6.186911384683e-12 
  112       2.766227678648e-13       2.377183529813e-12       1.827358139335e-12       1.166131904056e-12                     -nan       6.153421779932e-13       6.079444030924e-12 
  113       2.724335092960e-13       2.339093122615e-12       1.807039813770e-12       1.151270161598e-12                     -nan       6.046873477245e-13       5.974918810036e-12 
  114       2.683534935346e-13       2.301992547404e-12       1.787329830788e-12       1.136822247573e-12                     -nan       5.943116694360e-13       5.873131065826e-12 
  115       2.643730404195e-13       2.265794553169e-12       1.768176055952e-12       1.122751900399e-12                     -nan       5.841908062660e-13       5.773841771656e-12 
  116       2.604833187971e-13       2.230419527406e-12       1.749530992424e-12       1.109026056507e-12                     -nan       5.743025449424e-13       5.676832766804e-12 
  117       2.566835058992e-13       2.195859832897e-12       1.731391020322e-12       1.095641888256e-12                     -nan       5.646446442832e-13       5.582082104596e-12 
  118       2.529744295866e-13       2.162122675991e-12       1.713761547908e-12       1.082602792132e-12                     -nan       5.552189862235e-13       5.489608348046e-12 
  119       2.493563339821e-13       2.129210028746e-12       1.696644763309e-12       1.069909949626e-12                     -nan       5.460260062280e-13       5.399415852778e-12 
  120       2.458288609451e-13       2.097118463193e-12       1.680039531382e-12       1.057562256593e-12                     -nan       5.370646476720e-13       5.311494318802e-12 
  121       2.423910315458e-13       2.065838985599e-12       1.663941290579e-12       1.045556252620e-12                     -nan       5.283323162234e-13       5.225818342306e-12 
  122       2.390412275393e-13       2.035356870737e-12       1.648341949810e-12       1.033886050388e-12                     -nan       5.198248342229e-13       5.142346967435e-12 
  123       2.357771728405e-13       2.005651496142e-12       1.633229785310e-12       1.022543265034e-12                     -nan       5.115363950665e-13       5.061023238076e-12 
  124       2.325959149981e-13       1.976696176382e-12       1.618589337502e-12       1.011516943517e-12                     -nan       5.034595175859e-13       4.981773749641e-12 
  125       2.294938066688e-13       1.948457997320e-12       1.604401307866e-12       1.000793493980e-12                     -nan       4.955850004300e-13       4.904508200853e-12 
  126       2.264664870919e-13       1.920897650379e-12       1.590642455798e-12       9.903566151129e-13                     -nan       4.879018764465e-13       4.829118945530e-12 
  127       2.235088635635e-13       1.893969266805e-12       1.577285495478e-12       9.801872255185e-13                     -nan       4.803973670629e-13       4.755480544366e-12 
  128       2.206150929108e-13       1.867620251934e-12       1.564298992736e-12       9.702633930737e-13                     -nan       4.730568366677e-13       4.683449316715e-12 
  129       2.177799279329e-13       1.841803362916e-12       1.551654793799e-12       9.605654390697e-13                     -nan       4.658671323292e-13       4.612896149017e-12 
  130       2.150029630722e-13       1.816514791934e-12       1.539351452002e-12       9.510920337332e-13                     -nan       4.588271140748e-13       4.543809941335e-12 
  131       2.122848216569e-13       1.791759967004e-12       1.527393188074e-12       9.418457411343e-13                     -nan       4.519381989639e-13       4.476204714818e-12 
  132       2.096258240120e-13       1.767541605649e-12       1.515782539871e-12       9.328279694106e-13                     -nan       4.452010581161e-13       4.410087164136e-12 
  133       2.070259787012e-13       1.743859636772e-12       1.504520313129e-12       9.240389371593e-13                     -nan       4.386155953174e-13       4.345456447236e-12 
  134       2.044849737683e-13       1.720711122532e-12       1.493605532230e-12       9.154776398297e-13                     -nan       4.321809256254e-13       4.282303975097e-12 
  135       2.020021679786e-13       1.698090180216e-12       1.483035390961e-12       9.071418161152e-13                     -nan       4.258953539747e-13       4.220613201489e-12 
  136       1.995765820609e-13       1.675987904115e-12       1.472805203273e-12       8.990279143462e-13                     -nan       4.197563537830e-13       4.160359412726e-12 
