# Matter power spectrum P(k) at redshift z=0
# for k=1.04554e-05 to 125.152 h/Mpc,
# number of wavenumbers equal to 775
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.356722697666e-01       4.100265395517e+03 
       1.388914238156e-01       3.942650413319e+03 
       1.421106048001e-01       3.775960129281e+03 
       1.453298047406e-01       3.604758863160e+03 
       1.485490186320e-01       3.434264502432e+03 
       1.517682432871e-01       3.269613038648e+03 
       1.549874766334e-01       3.115260660133e+03 
       1.582067172858e-01       2.974661181075e+03 
       1.614259642858e-01       2.849889840174e+03 
       1.646452169426e-01       2.741762105401e+03 
       1.678644747361e-01       2.649827482616e+03 
       1.710837372571e-01       2.572606685374e+03 
       1.743030041704e-01       2.507762654297e+03 
       1.775222751916e-01       2.452355190258e+03 
       1.807415500731e-01       2.403328114360e+03 
       1.839608285945e-01       2.357780467310e+03 
       1.871801105566e-01       2.313082878374e+03 
       1.903993957777e-01       2.266394318716e+03 
       1.936186840902e-01       2.216035702949e+03 
       1.968379753390e-01       2.161097642398e+03 
       2.000572693799e-01       2.101519597781e+03 
       2.032765660783e-01       2.038026713592e+03 
       2.064958653087e-01       1.971902556242e+03 
       2.097151669531e-01       1.904757498539e+03 
       2.129344709011e-01       1.838293577484e+03 
       2.161537770489e-01       1.774060045156e+03 
       2.193730852988e-01       1.713306164767e+03 
       2.225923955591e-01       1.657003856737e+03 
       2.258117077429e-01       1.605748406261e+03 
       2.290310217687e-01       1.559792327051e+03 
       2.322503375594e-01       1.519059498276e+03 
       2.354696550420e-01       1.483156503487e+03 
       2.386889741476e-01       1.451406919316e+03 
       2.419082948110e-01       1.422921585978e+03 
       2.451276169704e-01       1.396707438613e+03 
       2.483469405673e-01       1.371764587774e+03 
       2.515662655461e-01       1.347165938056e+03 
       2.547855918541e-01       1.322203152625e+03 
       2.580049194413e-01       1.296378308439e+03 
       2.612242482600e-01       1.269417456241e+03 
       2.644435782650e-01       1.241265201905e+03 
       2.676629094133e-01       1.212056655014e+03 
       2.708822416639e-01       1.182082612457e+03 
       2.741015749776e-01       1.151759391091e+03 
       2.773209093173e-01       1.121581740643e+03 
       2.805402446474e-01       1.092066203531e+03 
       2.837595809341e-01       1.063697883355e+03 
       2.869789181449e-01       1.036866583755e+03 
       2.901982562489e-01       1.011823348149e+03 
       2.934175952166e-01       9.886681228256e+02 
       2.966369350197e-01       9.673786735295e+02 
       2.998562756312e-01       9.477970639034e+02 
       3.030756170251e-01       9.297049772459e+02 
       3.062949591766e-01       9.128346920195e+02 
       3.095143020620e-01       8.969000974640e+02 
       3.127336456586e-01       8.816089378945e+02 
       3.159529899444e-01       8.666791695656e+02 
       3.191723348985e-01       8.518646666679e+02 
       3.223916805008e-01       8.369662989369e+02 
       3.256110267319e-01       8.218619225429e+02 
       3.288303735734e-01       8.064962739659e+02 
       3.320497210073e-01       7.909078186698e+02 
       3.352690690165e-01       7.751871627396e+02 
       3.384884175845e-01       7.594690010774e+02 
       3.417077666955e-01       7.438991212578e+02 
       3.449271163342e-01       7.286176328371e+02 
       3.481464664858e-01       7.137528039502e+02 
       3.513658171362e-01       6.994116233942e+02 
       3.545851682719e-01       6.856786293574e+02 
       3.578045198795e-01       6.726098001624e+02 
       3.610238719464e-01       6.602280393470e+02 
       3.642432244604e-01       6.485183348912e+02 
       3.674625774098e-01       6.374268483539e+02 
       3.706819307830e-01       6.268691887520e+02 
       3.739012845691e-01       6.167385908823e+02 
       3.771206387575e-01       6.069294827147e+02 
       3.803399933379e-01       5.973460557144e+02 
       3.835593483004e-01       5.879127521073e+02 
       3.867787036355e-01       5.785760665307e+02 
       3.899980593339e-01       5.692997222608e+02 
       3.932174153865e-01       5.600642314630e+02 
       3.964367717848e-01       5.508632710512e+02 
       3.996561285203e-01       5.417031574468e+02 
       4.028754855850e-01       5.326054000002e+02 
       4.060948429710e-01       5.236040247254e+02 
       4.093142006706e-01       5.147436407913e+02 
       4.125335586765e-01       5.060689695185e+02 
       4.157529169816e-01       4.976186390384e+02 
       4.189722755789e-01       4.894191553731e+02 
       4.221916344617e-01       4.814820122785e+02 
       4.254109936236e-01       4.738080588882e+02 
       4.286303530582e-01       4.663903941591e+02 
       4.318497127593e-01       4.592180350387e+02 
       4.350690727211e-01       4.522785532238e+02 
       4.382884329377e-01       4.455556743779e+02 
       4.415077934037e-01       4.390289684174e+02 
       4.447271541135e-01       4.326717350791e+02 
       4.479465150618e-01       4.264546015583e+02 
       4.511658762437e-01       4.203475798685e+02 
       4.543852376539e-01       4.143280022035e+02 
       4.576045992879e-01       4.083792050952e+02 
       4.608239611407e-01       4.024953940030e+02 
       4.640433232079e-01       3.966774779354e+02 
       4.672626854850e-01       3.909301579823e+02 
       4.704820479677e-01       3.852589637418e+02 
       4.737014106518e-01       3.796691279578e+02 
       4.769207735331e-01       3.741668193130e+02 
       4.801401366078e-01       3.687607897371e+02 
       4.833594998719e-01       3.634612527510e+02 
       4.865788633216e-01       3.582818216366e+02 
       4.897982269534e-01       3.532315308792e+02 
       4.930175907635e-01       3.483159010721e+02 
       4.962369547486e-01       3.435336177657e+02 
       4.994563189052e-01       3.388770166170e+02 
       5.026756832300e-01       3.343350680441e+02 
       5.058950477198e-01       3.298957741774e+02 
       5.091144123715e-01       3.255488457136e+02 
       5.123337771820e-01       3.212865500310e+02 
       5.155531421483e-01       3.171020035162e+02 
       5.187725072676e-01       3.129892576747e+02 
       5.219918725369e-01       3.089414544503e+02 
       5.252112379535e-01       3.049506981076e+02 
       5.284306035147e-01       3.010125665023e+02 
       5.316499692178e-01       2.971246217416e+02 
       5.348693350604e-01       2.932883052682e+02 
       5.380887010398e-01       2.895088571170e+02 
       5.413080671537e-01       2.857912478346e+02 
       5.445274333997e-01       2.821397156096e+02 
       5.477467997753e-01       2.785568710683e+02 
       5.509661662784e-01       2.750419875597e+02 
       5.541855329067e-01       2.715932699609e+02 
       5.574048996580e-01       2.682088808670e+02 
       5.606242665302e-01       2.648888555221e+02 
       5.638436335212e-01       2.616341678340e+02 
       5.670630006290e-01       2.584437367650e+02 
       5.702823678517e-01       2.553170510906e+02 
       5.735017351872e-01       2.522504651859e+02 
       5.767211026337e-01       2.492389214209e+02 
       5.799404701893e-01       2.462775062481e+02 
       5.831598378522e-01       2.433620911992e+02 
       5.863792056207e-01       2.404907829833e+02 
       5.895985734929e-01       2.376631256259e+02 
       5.928179414673e-01       2.348795794555e+02 
       5.960373095422e-01       2.321395808341e+02 
       5.992566777158e-01       2.294417663020e+02 
       6.024760459867e-01       2.267838348136e+02 
       6.056954143533e-01       2.241636987450e+02 
       6.089147828141e-01       2.215806004216e+02 
       6.121341513675e-01       2.190357089854e+02 
       6.153535200121e-01       2.165309271476e+02 
       6.185728887465e-01       2.140680559018e+02 
       6.217922575694e-01       2.116481406430e+02 
       6.250116264792e-01       2.092705329516e+02 
       6.282309954747e-01       2.069326748185e+02 
       6.314503645546e-01       2.046324584993e+02 
       6.346697337175e-01       2.023680939918e+02 
       6.378891029623e-01       2.001394330891e+02 
       6.411084722877e-01       1.979465344595e+02 
       6.443278416924e-01       1.957893308277e+02 
       6.475472111753e-01       1.936671719646e+02 
       6.507665807352e-01       1.915783061434e+02 
       6.539859503710e-01       1.895200188570e+02 
       6.572053200816e-01       1.874903324934e+02 
       6.604246898658e-01       1.854877948099e+02 
       6.636440597227e-01       1.835125457306e+02 
       6.668634296510e-01       1.815654181231e+02 
       6.700827996499e-01       1.796472278657e+02 
       6.733021697183e-01       1.777581625351e+02 
       6.765215398551e-01       1.758973848960e+02 
       6.797409100595e-01       1.740634204084e+02 
       6.829602803304e-01       1.722553336834e+02 
       6.861796506670e-01       1.704714410937e+02 
       6.893990210683e-01       1.687127077669e+02 
       6.926183915333e-01       1.669799743735e+02 
       6.958377620613e-01       1.652739154443e+02 
       6.990571326513e-01       1.635942129284e+02 
       7.022765033025e-01       1.619399665277e+02 
       7.054958740141e-01       1.603095386893e+02 
       7.087152447852e-01       1.587013046355e+02 
       7.119346156149e-01       1.571144162329e+02 
       7.151539865026e-01       1.555489568269e+02 
       7.183733574475e-01       1.540052768919e+02 
       7.215927284487e-01       1.524839337168e+02 
       7.248120995055e-01       1.509844886083e+02 
       7.280314706172e-01       1.495060059978e+02 
       7.312508417830e-01       1.480470939001e+02 
       7.344702130023e-01       1.466065609889e+02 
       7.376895842743e-01       1.451841225366e+02 
       7.409089555984e-01       1.437800097285e+02 
       7.441283269739e-01       1.423948524801e+02 
       7.473476984000e-01       1.410292922991e+02 
       7.505670698762e-01       1.396833846340e+02 
       7.537864414018e-01       1.383557881049e+02 
       7.570058129762e-01       1.370456392102e+02 
       7.602251845987e-01       1.357519439408e+02 
       7.634445562688e-01       1.344740169665e+02 
       7.666639279859e-01       1.332128152107e+02 
       7.698832997492e-01       1.319686416840e+02 
       7.731026715584e-01       1.307414485736e+02 
       7.763220434128e-01       1.295312861498e+02 
       7.795414153118e-01       1.283372323036e+02 
       7.827607872549e-01       1.271581813838e+02 
       7.859801592415e-01       1.259933703461e+02 
       7.891995312712e-01       1.248422745840e+02 
       7.924189033434e-01       1.237055227388e+02 
       7.956382754575e-01       1.225834041505e+02 
       7.988576476131e-01       1.214761943258e+02 
       8.020770198096e-01       1.203835693452e+02 
       8.052963920466e-01       1.193050691928e+02 
       8.085157643237e-01       1.182396196512e+02 
       8.117351366402e-01       1.171864338898e+02 
       8.149545089957e-01       1.161455272760e+02 
       8.181738813899e-01       1.151171997175e+02 
