# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
  142       1.843452903047e-13       1.544407688015e-12       1.410417646148e-12       8.519361674146e-13                     -nan       3.803550425728e-13       3.770967184745e-12 
  143       1.822802493377e-13       1.525528778926e-12       1.402307232368e-12       8.451829786049e-13                     -nan       3.751709707440e-13       3.720102306928e-12 
  144       1.802518777273e-13       1.506984442837e-12       1.394429020914e-12       8.385754805851e-13                     -nan       3.700814270327e-13       3.670163614239e-12 
  145       1.782599570824e-13       1.488772608443e-12       1.386782537669e-12       8.321129783165e-13                     -nan       3.650857852078e-13       3.621145059888e-12 
  146       1.763049115269e-13       1.470896975274e-12       1.379370892510e-12       8.257972323515e-13                     -nan       3.601849969201e-13       3.573056088105e-12 
  147       1.743870123864e-13       1.453359876234e-12       1.372196337551e-12       8.196294124103e-13                     -nan       3.553796427341e-13       3.525902499238e-12 
  148       1.725063741830e-13       1.436162241899e-12       1.365260244270e-12       8.136100817920e-13                     -nan       3.506699224957e-13       3.479686355084e-12 
  149       1.706629506305e-13       1.419303564820e-12       1.358563080642e-12       8.077391817847e-13                     -nan       3.460556456983e-13       3.434405884231e-12 
  150       1.688565306288e-13       1.402781863827e-12       1.352104388270e-12       8.020160160768e-13                     -nan       3.415362218509e-13       3.390055387391e-12 
  151       1.670867342591e-13       1.386593648325e-12       1.345882759509e-12       7.964392351670e-13                     -nan       3.371106508444e-13       3.346625142738e-12 
  152       1.653530087783e-13       1.370733882604e-12       1.339895814600e-12       7.910068207756e-13                     -nan       3.327775133191e-13       3.304101311246e-12 
  153       1.636546246142e-13       1.355195950132e-12       1.334140178800e-12       7.857160702546e-13                     -nan       3.285349610318e-13       3.262465842023e-12 
  154       1.619906713604e-13       1.339971617863e-12       1.328611459510e-12       7.805635809987e-13                     -nan       3.243807072225e-13       3.221696377652e-12 
  155       1.603600537706e-13       1.325051000539e-12       1.323304223405e-12       7.755452348559e-13                     -nan       3.203120169820e-13       3.181766159525e-12 
  156       1.587614877541e-13       1.310422524985e-12       1.318211973564e-12       7.706561825382e-13                     -nan       3.163256976186e-13       3.142643933180e-12 
  157       1.571934963701e-13       1.296072894419e-12       1.313327126600e-12       7.658908280320e-13                     -nan       3.124180890252e-13       3.104293853639e-12 
  158       1.556544058228e-13       1.281987052748e-12       1.308640989788e-12       7.612428130090e-13                     -nan       3.085850540467e-13       3.066675390743e-12 
  159       1.541423414563e-13       1.268148148873e-12       1.304143738199e-12       7.567050012370e-13                     -nan       3.048219688468e-13       3.029743234492e-12 
  160       1.526552237490e-13       1.254537500991e-12       1.299824391824e-12       7.522694629901e-13                     -nan       3.011237132750e-13       2.993447200379e-12 
  161       1.511912318770e-13       1.241138744710e-12       1.295673428937e-12       7.479292597863e-13                     -nan       2.974857976784e-13       2.957743292148e-12 
  162       1.497502488786e-13       1.227950764593e-12       1.291690933901e-12       7.436840086915e-13                     -nan       2.939078755401e-13       2.922628188197e-12 
