# Intensity and polariztion noise spectra, DLM: Noise spectra for temperature and polarization
# for l=2 to 4500,
#    1:l                      2:Nl (temp)              3:Nl (pol)           
       3.940000000000e+02       1.675097085534e-04       1.601208978162e-06 
       3.950000000000e+02       1.669677174422e-04       1.596869142000e-06 
       3.960000000000e+02       1.664287358907e-04       1.592554979728e-06 
       3.970000000000e+02       1.658927421379e-04       1.588266277735e-06 
       3.980000000000e+02       1.653597145165e-04       1.584002824713e-06 
       3.990000000000e+02       1.648296545832e-04       1.579764411629e-06 
       4.000000000000e+02       1.642933175766e-04       1.575550831698e-06 
       4.010000000000e+02       1.637691234653e-04       1.571361880348e-06 
       4.020000000000e+02       1.632478096301e-04       1.567197355195e-06 
       4.030000000000e+02       1.627293663868e-04       1.563057056010e-06 
       4.040000000000e+02       1.622137495294e-04       1.558940784697e-06 
       4.050000000000e+02       1.616920235549e-04       1.554848345259e-06 
       4.060000000000e+02       1.611820948054e-04       1.550779543775e-06 
       4.070000000000e+02       1.606661079306e-04       1.546734188369e-06 
       4.080000000000e+02       1.601617489004e-04       1.542712089187e-06 
       4.090000000000e+02       1.596514172940e-04       1.538713058370e-06 
       4.100000000000e+02       1.591525563341e-04       1.534736910028e-06 
       4.110000000000e+02       1.586477624055e-04       1.530783460212e-06 
       4.120000000000e+02       1.581543514067e-04       1.526852526894e-06 
       4.130000000000e+02       1.576550470735e-04       1.522943929939e-06 
       4.140000000000e+02       1.571584883258e-04       1.519057491081e-06 
       4.150000000000e+02       1.566646432368e-04       1.515193033901e-06 
       4.160000000000e+02       1.561818811836e-04       1.511350383801e-06 
       4.170000000000e+02       1.556933623350e-04       1.507529367984e-06 
       4.180000000000e+02       1.552075076853e-04       1.503729815427e-06 
       4.190000000000e+02       1.547242742376e-04       1.499951556864e-06 
       4.200000000000e+02       1.542436647276e-04       1.496194424758e-06 
       4.210000000000e+02       1.537656591209e-04       1.492458253283e-06 
       4.220000000000e+02       1.532902146889e-04       1.488742878304e-06 
       4.230000000000e+02       1.528173570933e-04       1.485048137349e-06 
       4.240000000000e+02       1.523470209990e-04       1.481373869598e-06 
       4.250000000000e+02       1.518792321502e-04       1.477719915852e-06 
       4.260000000000e+02       1.514059896537e-04       1.474086118523e-06 
       4.270000000000e+02       1.509432415678e-04       1.470472321604e-06 
       4.280000000000e+02       1.504829477570e-04       1.466878370660e-06 
       4.290000000000e+02       1.500172935496e-04       1.463304112798e-06 
