# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
  119       2.498801328463e-13       2.126345926177e-12       1.690631429823e-12       1.068259517018e-12                     -nan       5.492948083645e-13       5.448869104343e-12 
  120       2.463487152680e-13       2.094322302819e-12       1.674096989179e-12       1.055938186951e-12                     -nan       5.402794020155e-13       5.360148394619e-12 
  121       2.429070525430e-13       2.063109061112e-12       1.658067696431e-12       1.043957925860e-12                     -nan       5.314944022135e-13       5.273693631820e-12 
  122       2.395535245145e-13       2.032691507436e-12       1.642535495396e-12       1.032312858416e-12                     -nan       5.229356061203e-13       5.189463487947e-12 
  123       2.362858522767e-13       2.003049062483e-12       1.627488711254e-12       1.020994616415e-12                     -nan       5.145971721477e-13       5.107400489155e-12 
  124       2.331010796231e-13       1.974155095843e-12       1.612911947819e-12       1.009992268270e-12                     -nan       5.064715740639e-13       5.027430563457e-12 
  125       2.299955544944e-13       1.945976760589e-12       1.598785984793e-12       9.992922485084e-13                     -nan       4.985495551005e-13       4.949462588429e-12 
  126       2.269649104271e-13       1.918474827857e-12       1.585087675031e-12       9.888782872654e-13                     -nan       4.908200820591e-13       4.873387938915e-12 
  127       2.240040480014e-13       1.891603521439e-12       1.571789841801e-12       9.787313397784e-13                     -nan       4.832702994179e-13       4.799080034730e-12 
  128       2.211071162896e-13       1.865310352359e-12       1.558861176046e-12       9.688295158818e-13                     -nan       4.758854834389e-13       4.726393888368e-12 
  129       2.182688611422e-13       1.839548172852e-12       1.546273636581e-12       9.591531746008e-13                     -nan       4.686524019901e-13       4.655199212010e-12 
  130       2.154888766800e-13       1.814313184697e-12       1.534025786757e-12       9.497009895756e-13                     -nan       4.615699082140e-13       4.585484805558e-12 
  131       2.127677873081e-13       1.789610807254e-12       1.522121835620e-12       9.404755209970e-13                     -nan       4.546394276788e-13       4.517264818660e-12 
  132       2.101059140002e-13       1.765443754619e-12       1.510564315889e-12       9.314781752722e-13                     -nan       4.478616355244e-13       4.450546007840e-12 
  133       2.075032655272e-13       1.741811957645e-12       1.499354034908e-12       9.227091714791e-13                     -nan       4.412364349390e-13       4.385327524333e-12 
  134       2.049595296866e-13       1.718712485966e-12       1.488490025595e-12       9.141675078198e-13                     -nan       4.347629356366e-13       4.321600701934e-12 
  135       2.024740645308e-13       1.696139470018e-12       1.477969497393e-12       9.058509280756e-13                     -nan       4.284394323329e-13       4.259348844839e-12 
  136       2.000458895961e-13       1.674084023062e-12       1.467787787216e-12       8.977558880606e-13                     -nan       4.222633832227e-13       4.198547015487e-12 
  137       1.976736771314e-13       1.652534163205e-12       1.457938310403e-12       8.898775220762e-13                     -nan       4.162313884568e-13       4.139161822401e-12 
  138       1.953557433271e-13       1.631474735424e-12       1.448412511666e-12       8.822096093652e-13                     -nan       4.103391686182e-13       4.081151208035e-12 
  139       1.930900395442e-13       1.610887333585e-12       1.439199816038e-12       8.747445405658e-13                     -nan       4.045815431997e-13       4.024464236611e-12 
  140       1.908741435426e-13       1.590750222468e-12       1.430287579827e-12       8.674732841663e-13                     -nan       3.989524090798e-13       3.969040881968e-12 
  141       1.887052507100e-13       1.571038259786e-12       1.421661041561e-12       8.603853529587e-13                     -nan       3.934447190006e-13       3.914811815399e-12 
  142       1.865801652913e-13       1.551722818213e-12       1.413303272941e-12       8.534687704931e-13                     -nan       3.880504600435e-13       3.861698193496e-12 
  143       1.844952916167e-13       1.532771707397e-12       1.405195129791e-12       8.467100375321e-13                     -nan       3.827606321069e-13       3.809611445994e-12 
  144       1.824474473475e-13       1.514156427491e-12       1.397319753055e-12       8.400972191894e-13                     -nan       3.775672611639e-13       3.758473112126e-12 
  145       1.804364120908e-13       1.495874900274e-12       1.389676675462e-12       8.336296201809e-13                     -nan       3.724697081711e-13       3.708277001632e-12 
  146       1.784626145402e-13       1.477930841216e-12       1.382269018824e-12       8.273090040951e-13                     -nan       3.674689441146e-13       3.659032787222e-12 
  147       1.765263290096e-13       1.460326593671e-12       1.375099046165e-12       8.211365428869e-13                     -nan       3.625655613367e-13       3.610746410267e-12 
  148       1.746276713864e-13       1.443063093042e-12       1.368168138826e-12       8.151128012668e-13                     -nan       3.577597637070e-13       3.563419983861e-12 
  149       1.727665950844e-13       1.426139830937e-12       1.361476773557e-12       8.092377210895e-13                     -nan       3.530513567932e-13       3.517051695889e-12 
  150       1.709428869970e-13       1.409554819324e-12       1.355024499621e-12       8.035106057437e-13                     -nan       3.484397380319e-13       3.471635712086e-12 
  151       1.691561634500e-13       1.393304554689e-12       1.348809915895e-12       7.979301045409e-13                     -nan       3.439238868999e-13       3.427162079107e-12 
  152       1.674058661550e-13       1.377383982192e-12       1.342830647966e-12       7.924941971046e-13                     -nan       3.395023550850e-13       3.383616627584e-12 
  153       1.656912581621e-13       1.361786459828e-12       1.337083325230e-12       7.872001777594e-13                     -nan       3.351732566566e-13       3.340980875197e-12 
  154       1.640114198133e-13       1.346503722580e-12       1.331563557997e-12       7.820446399205e-13                     -nan       3.309342582376e-13       3.299231929732e-12 
  155       1.623652446952e-13       1.331525846578e-12       1.326265914582e-12       7.770234604824e-13                     -nan       3.267825691741e-13       3.258342392148e-12 
  156       1.607514355923e-13       1.316841213256e-12       1.321183898413e-12       7.721317842083e-13                     -nan       3.227149317076e-13       3.218280259641e-12 
  157       1.591685004398e-13       1.302436473509e-12       1.316309925124e-12       7.673640081192e-13                     -nan       3.187276111450e-13       3.179008828708e-12 
  158       1.576147482771e-13       1.288296511850e-12       1.311635299660e-12       7.627137658832e-13                     -nan       3.148163860300e-13       3.140486598210e-12 
  159       1.560882852003e-13       1.274404410566e-12       1.307150193371e-12       7.581739122043e-13                     -nan       3.109765383141e-13       3.102667172436e-12 
  160       1.545870103156e-13       1.260741413879e-12       1.302843621113e-12       7.537365072121e-13                     -nan       3.072028435274e-13       3.065499164168e-12 
  161       1.531090840909e-13       1.247291092680e-12       1.298706058384e-12       7.493946036093e-13                     -nan       3.034907205392e-13       3.028937522928e-12 
  162       1.516543884506e-13       1.234052327881e-12       1.294737600870e-12       7.451478184945e-13                     -nan       2.998398157363e-13       2.992978849008e-12 
  163       1.502231886679e-13       1.221027412059e-12       1.290940486060e-12       7.409972267300e-13                     -nan       2.962507184940e-13       2.957629031636e-12 
  164       1.488156707200e-13       1.208217935758e-12       1.287316507443e-12       7.369435952404e-13                     -nan       2.927238256355e-13       2.922892060642e-12 
  165       1.474319394153e-13       1.195624770970e-12       1.283867003754e-12       7.329873756961e-13                     -nan       2.892593369376e-13       2.888769982094e-12 
  166       1.460720165191e-13       1.183248054618e-12       1.280592848219e-12       7.291286971970e-13                     -nan       2.858572506374e-13       2.855262853927e-12 
  167       1.447358388810e-13       1.171087172043e-12       1.277494437802e-12       7.253673589553e-13                     -nan       2.825173589378e-13       2.822368701570e-12 
  168       1.434232565606e-13       1.159140740481e-12       1.274571682451e-12       7.217028229796e-13                     -nan       2.792392435140e-13       2.790083473578e-12 
  169       1.421340309544e-13       1.147406592554e-12       1.271823994342e-12       7.181342067579e-13                     -nan       2.760222710193e-13       2.758400997260e-12 
  170       1.408678329224e-13       1.135881759748e-12       1.269250277128e-12       7.146602759411e-13                     -nan       2.728655885915e-13       2.727312934312e-12 
  171       1.396242409142e-13       1.124562455901e-12       1.266848915183e-12       7.112794370265e-13                     -nan       2.697681193586e-13       2.696808736444e-12 
  172       1.384027390957e-13       1.113444060679e-12       1.264617762848e-12       7.079897300413e-13                     -nan       2.667285579450e-13       2.666875601011e-12 
  173       1.372027154759e-13       1.102521103071e-12       1.262554133676e-12       7.047888212258e-13                     -nan       2.637453659781e-13       2.637498426642e-12 
  174       1.360234600328e-13       1.091787244859e-12       1.260654789681e-12       7.016739957169e-13                     -nan       2.608167675934e-13       2.608659768870e-12 
  175       1.348641628402e-13       1.081235264115e-12       1.258915930581e-12       6.986421502317e-13                     -nan       2.579407449414e-13       2.580339795764e-12 
  176       1.337239121945e-13       1.070857038672e-12       1.257333183046e-12       6.956897857508e-13                     -nan       2.551150336935e-13       2.552516243554e-12 
  177       1.326016927405e-13       1.060643529618e-12       1.255901589940e-12       6.928130002014e-13                     -nan       2.523371185477e-13       2.525164372266e-12 
  178       1.314963835986e-13       1.050584764772e-12       1.254615599573e-12       6.900074811414e-13                     -nan       2.496042287352e-13       2.498256921349e-12 
  179       1.304067564908e-13       1.040669822172e-12       1.253469054941e-12       6.872684984424e-13                     -nan       2.469133335264e-13       2.471764065306e-12 
  180       1.293317456889e-13       1.030889221488e-12       1.252456712253e-12       6.845919389667e-13                     -nan       2.442617981567e-13       2.445659878981e-12 
  181       1.282712857678e-13       1.021242345343e-12       1.251578953931e-12       6.819775178542e-13                     -nan       2.416494192986e-13       2.419942400806e-12 
  182       1.272255370006e-13       1.011730577559e-12       1.250837430456e-12       6.794258090394e-13                     -nan       2.390765431329e-13       2.394615082856e-12 
  183       1.261946186560e-13       1.002354940638e-12       1.250233559674e-12       6.769372227420e-13                     -nan       2.365434174212e-13       2.369680404255e-12 
  184       1.251786081252e-13       9.931160881197e-13       1.249768521677e-12       6.745120019888e-13                     -nan       2.340501894449e-13       2.345139850781e-12 
  185       1.241775400501e-13       9.840142969323e-13       1.249443253676e-12       6.721502191348e-13                     -nan       2.315969039431e-13       2.320993894476e-12 
  186       1.231914054508e-13       9.750494597436e-13       1.249258444883e-12       6.698517723844e-13                     -nan       2.291835010521e-13       2.297241973249e-12 
  187       1.222201508532e-13       9.662210773150e-13       1.249214531390e-12       6.676163823132e-13                     -nan       2.268098142430e-13       2.273882470484e-12 
  188       1.212636774168e-13       9.575282508537e-13       1.249311691047e-12       6.654435883888e-13                     -nan       2.244755682611e-13       2.250912694648e-12 
  189       1.203218400624e-13       9.489696743648e-13       1.249549838339e-12       6.633327454922e-13                     -nan       2.221803770638e-13       2.228328858894e-12 
  190       1.193944465997e-13       9.405436270040e-13       1.249928619268e-12       6.612830204398e-13                     -nan       2.199237417596e-13       2.206126060670e-12 
  191       1.184812568549e-13       9.322479654304e-13       1.250447406228e-12       6.592933885038e-13                     -nan       2.177050485466e-13       2.184298261326e-12 
  192       1.175819817987e-13       9.240801161583e-13       1.251105292887e-12       6.573626299342e-13                     -nan       2.155235666510e-13       2.162838265718e-12 
  193       1.166962826735e-13       9.160370679104e-13       1.251901089062e-12       6.554893264798e-13                     -nan       2.133784462654e-13       2.141737701814e-12 
  194       1.158237701215e-13       9.081153639697e-13       1.252833315600e-12       6.536718579097e-13                     -nan       2.112687164882e-13       2.120987000307e-12 
